"YEAR"	"AGE"	"MARST"	"n"	"prop"
1900	37	1	697775.75	0.770951208417418
1900	37	2	26606.16	0.0293963371517958
1900	37	4	4255.05	0.00470127535870448
1900	37	5	43105.79	0.0476262766229515
1900	37	6	133341.44	0.14732490244913
1900	38	1	800014.91	0.763036854498709
1900	38	2	34684.91	0.0330817142207647
1900	38	4	5010.47	0.00477887751912042
1900	38	5	55521.73	0.0529554208127528
1900	38	6	153229.67	0.146147132948654
1900	39	1	732415.83	0.766952723517592
1900	39	2	30069.05	0.0314869488704069
1900	39	4	5080.26	0.00531981844682069
1900	39	5	52909.32	0.0554042463465922
1900	39	6	134494.22	0.140836262818588
1900	40	1	861060.51	0.722565850913303
1900	40	2	45576.16	0.0382456011503313
1900	40	4	6627.35	0.00556139404424699
1900	40	5	90019.78	0.0755408222526989
1900	40	6	188386.84	0.15808633163942
1900	41	1	568623.61	0.782632557599488
1900	41	2	22401.7	0.0308328733757229
1900	41	4	3635.5	0.00500376806927335
1900	41	5	45062.94	0.0620229680317922
1900	41	6	86828.71	0.119507832923723
1900	42	1	656481.41	0.774047178715635
1900	42	2	27822.98	0.0328056497021927
1900	42	4	3578.63	0.00421950783826024
1900	42	5	59999.54	0.0707445389218803
1900	42	6	100232.94	0.118183124822032
1900	43	1	577856.99	0.78361989390551
1900	43	2	22845.83	0.0309807568145595
1900	43	4	3315.11	0.00449555199892121
1900	43	5	51946.24	0.0704432200042958
1900	43	6	81455.84	0.110460577276714
1900	44	1	568803.87	0.778821871518953
1900	44	2	21789.23	0.0298344117939228
1900	44	4	3286.73	0.00450028093124171
1900	44	5	57770.05	0.0791003381512568
1900	44	6	78688.97	0.107743097604626
1900	45	1	649408.81	0.739803911105894
1900	45	2	33201.76	0.0378233117958459
1900	45	4	4746.7	0.00540742159757018
1900	45	5	86004.02	0.0979754345599801
1900	45	6	104450.79	0.11898992094071
1900	46	1	504971.39	0.778190456122959
1900	46	2	20957.46	0.0322966720086432
1900	46	4	3689.47	0.00568568912815432
1900	46	5	57732.47	0.0889691139975377
1900	46	6	61553.84	0.0948580687427057
1900	47	1	490823.87	0.778781276412797
1900	47	2	20553.3	0.0326115459879633
1900	47	4	3727.04	0.00591362634511144
1900	47	5	59235.07	0.0939872044589058
1900	47	6	55906.83	0.0887063467952226
1900	48	1	511076.92	0.763526381319097
1900	48	2	24299.78	0.0363027997629988
1900	48	4	3518.78	0.00525690215096783
1900	48	5	68876.26	0.102898095176345
1900	48	6	61592.06	0.0920158215905909
1900	49	1	476185.82	0.760721224814897
1900	49	2	19931.29	0.0318408375556855
1900	49	4	3411.45	0.00544989437609624
1900	49	5	70875.19	0.113225255942708
1900	49	6	55562.51	0.0887627873106132
1900	50	1	614967.79	0.705292053627069
1900	50	2	32518.67	0.0372948956326981
1900	50	4	4939.46	0.00566495017114435
1900	50	5	127331.03	0.146032955057939
1900	50	6	92176.58	0.105715145511149
1900	51	1	393158.4	0.760696319742187
1900	51	2	16824.93	0.032553450036728
1900	51	4	2771.73	0.00536283800707046
1900	51	5	62220.77	0.120386873968673
1900	51	6	41864.32	0.0810005182453414
1900	52	1	430002.85	0.744581263519363
1900	52	2	19059.65	0.0330031726051044
1900	52	4	2755.85	0.0047719550581347
1900	52	5	79915.7	0.138379856973121
1900	52	6	45775.58	0.0792637518442766
1900	53	1	371370.71	0.745776207119632
1900	53	2	16758.29	0.0336535262945504
1900	53	4	2303.13	0.00462508084146819
1900	53	5	69992.72	0.14055741026961
1900	53	6	37540.5	0.0753877754747394
1900	54	1	372067.18	0.731860085670786
1900	54	2	17348.33	0.0341243489416214
1900	54	4	2361.59	0.00464527255459423
1900	54	5	77547.85	0.152537442685983
1900	54	6	39060.72	0.0768328501470154
1900	55	1	398373.58	0.696926600032403
1900	55	2	21891.59	0.0382977992365943
1900	55	4	2822.42	0.00493762556860185
1900	55	5	101069.48	0.176813957048665
1900	55	6	47457.76	0.0830240181137358
1900	56	1	339024.68	0.715492786057357
1900	56	2	15766.64	0.0332746193591669
1900	56	4	2222.01	0.00468942888036147
1900	56	5	81893.49	0.172831669128219
1900	56	6	34927	0.0737114965748962
1900	57	1	283701.14	0.714875182463157
1900	57	2	12808.57	0.0322752626790365
1900	57	4	2176.73	0.00548496299987736
1900	57	5	70852.38	0.178535088299077
1900	57	6	27315.27	0.0688295035588521
1900	58	1	277799.07	0.698378792925394
1900	58	2	13046.93	0.0327996030540423
1900	58	4	1868.61	0.00469763126366233
1900	58	5	76263.78	0.191724927734019
1900	58	6	28798.68	0.0723990450228818
1900	59	1	259050.64	0.679379453900907
1900	59	2	12274.18	0.0321899444273963
1900	59	4	1694.07	0.0044428238103172
1900	59	5	79567.6	0.208671913090837
1900	59	6	28718.3	0.0753158647705422
1900	60	1	327778.1	0.608177754143395
1900	60	2	18759.38	0.0348071991311272
1900	60	4	2358.33	0.00437577691410437
1900	60	5	142627.19	0.264638437082841
1900	60	6	47428.15	0.0880008327285321
1900	61	1	190398.97	0.667779463096094
1900	61	2	8713.27	0.0305597386499061
1900	61	4	1499.13	0.00525784475888314
1900	61	5	65812.02	0.230820131962213
1900	61	6	18699.14	0.0655828215329038
1900	62	1	217397.8	0.64931626663621
1900	62	2	11398.84	0.034045662986394
1900	62	4	1689.83	0.00504712608338201
1900	62	5	81967.98	0.244819141487685
1900	62	6	22355.89	0.0667718028063291
1900	63	1	204692.7	0.640119011968745
1900	63	2	10162.07	0.0317790239122217
1900	63	4	1455.03	0.00455019825321022
1900	63	5	83855.39	0.26223421448373
1900	63	6	19607.69	0.0613175513820934
1900	64	1	184861.77	0.613833698748938
1900	64	2	10101.77	0.0335429377475454
1900	64	4	1330.4	0.00441759457791401
1900	64	5	85395.11	0.283554551199918
1900	64	6	19470.32	0.0646512177256846
1900	65	1	202868.59	0.570753307885442
1900	65	2	11462.57	0.0322489535929068
1900	65	4	1595.37	0.00448843610931193
1900	65	5	114248.94	0.32142955411385
1900	65	6	25264.59	0.0710797482984895
1900	66	1	159147.26	0.595278832058907
1900	66	2	8942.9	0.0334502715737588
1900	66	4	1359.4	0.00508473752109134
1900	66	5	80729.47	0.301962752072103
1900	66	6	17170.07	0.0642234067741391
1900	67	1	142911.05	0.574006858148689
1900	67	2	8357.48	0.0335680889395222
1900	67	4	949.22	0.0038125728548765
1900	67	5	81287.31	0.326493111767484
1900	67	6	15465.92	0.0621193682894288
1900	68	1	125057.03	0.557608014372057
1900	68	2	7372.87	0.0328743726036298
1900	68	4	784.85	0.0034995125830184
